City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
171,Sandakan,MY,77.0,few clouds,5.84,118.12,Hotel Sandakan
172,Comodoro Rivadavia,AR,60.8,clear sky,-45.87,-67.5,Austral Hotel
173,Okato,NZ,59.0,overcast clouds,-39.2,173.88,Goodin Country Garden
174,Champerico,GT,84.2,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
175,Yalvac,TR,53.29,clear sky,38.3,31.18,Yalvac Ogretmenevi
177,Costa Rica,BR,68.68,overcast clouds,-23.42,-54.65,
178,Mastic Beach,US,53.6,mist,40.77,-72.85,Brushwood House by Smith Point Beach
179,Mecca,SA,77.95,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
181,Tateyama,JP,57.99,overcast clouds,34.98,139.87,Tateyama Seaside Hotel
182,Vila Velha,BR,84.99,few clouds,-20.33,-40.29,Hotel Vitória Palace
184,Mar Del Plata,AR,55.4,few clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
186,Sambava,MG,73.17,light rain,-14.27,50.17,Melrose
187,Port Hedland,AU,73.4,few clouds,-20.32,118.57,The Esplanade Hotel
188,Novopskov,UA,50.14,light rain,49.55,39.09,"Sanatorno-Ozdorovchyy Kompleks ""Perlyna"""
190,San Pedro,PH,78.8,scattered clouds,14.35,121.02,OYO 412 Viewfort Venue
191,Bandarbeyla,SO,78.75,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
192,Clemencia,CO,82.17,light rain,10.57,-75.33,URBANIZACION SAN JOSE
194,Ramon Castilla,PE,87.8,light rain,-4.26,-69.96,Hotel Takana
198,Bowen,AU,64.4,fog,-20.02,148.23,Castle Motor Lodge Motel
199,Yatou,CN,50.54,clear sky,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
200,Alofi,NU,75.2,scattered clouds,-19.06,-169.92,Taloa Heights
201,San Quintin,MX,73.76,clear sky,30.48,-115.95,Old Mill Hotel
202,Hosdurga,IN,67.14,clear sky,13.8,76.29,Akshitha benne dose Hotal
203,Rocha,UY,57.27,clear sky,-34.48,-54.33,Beleza Pura B&B
