City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Porto Velho,BR,-8.76,-63.9,82.4,83,40,2.24,scattered clouds
109,Esperance,AU,-33.87,121.9,48.2,87,0,8.05,clear sky
110,Sechura,PE,-5.56,-80.82,79.2,50,76,17.87,broken clouds
111,Aklavik,CA,68.22,-135.01,14.72,93,100,4.94,overcast clouds
112,Mutare,ZW,-18.97,32.67,64.81,41,0,4.92,clear sky
113,Morondava,MG,-20.28,44.28,77.77,85,0,12.3,clear sky
114,Zaraza,VE,9.35,-65.32,84.69,81,82,5.91,light rain
115,Ponta Do Sol,PT,32.67,-17.1,69.8,73,20,11.41,few clouds
116,Saint-Francois,FR,46.42,3.91,53.01,100,90,4.09,overcast clouds
117,Manzhouli,CN,49.6,117.43,29.97,88,100,2.26,overcast clouds
118,Bengkulu,ID,-3.8,102.27,75.0,88,88,4.27,light rain
119,Hingoli,IN,19.72,77.15,69.67,62,4,1.5,clear sky
120,Cua,VE,10.16,-66.89,70.0,89,91,3.18,overcast clouds
121,Caravelas,BR,-17.71,-39.25,78.46,80,100,12.84,overcast clouds
122,Xuddur,SO,4.12,43.89,73.83,84,97,13.62,light rain
123,Denpasar,ID,-8.65,115.22,78.51,82,87,3.76,overcast clouds
124,Japura,ID,-0.32,102.35,74.01,96,75,1.92,broken clouds
125,Pangody,RU,65.85,74.49,7.43,95,88,8.32,overcast clouds
126,Dunedin,NZ,-45.87,170.5,54.0,89,100,1.01,overcast clouds
127,Grand Baie,MU,-20.02,57.58,68.0,72,1,5.01,clear sky
128,Bredasdorp,ZA,-34.53,20.04,53.6,54,7,8.05,clear sky
129,Wakkanai,JP,45.41,141.67,47.46,88,100,20.85,light rain
130,Arrifes,PT,37.77,-25.7,69.8,94,40,14.99,scattered clouds
131,Rawah,IQ,34.48,41.91,71.04,21,69,6.4,broken clouds
132,Thinadhoo,MV,0.53,72.93,83.08,75,16,12.86,few clouds
133,Kati,ML,12.74,-8.07,80.6,34,0,8.05,clear sky
134,Khatanga,RU,71.97,102.5,3.65,86,0,14.43,clear sky
135,Njinikom,CM,6.23,10.28,61.54,92,45,2.44,scattered clouds
136,Awbari,LY,26.59,12.78,67.21,42,0,9.1,clear sky
137,Nikolskoye,RU,59.7,30.79,50.0,93,90,2.24,light intensity shower rain
138,Ancud,CL,-41.87,-73.82,55.4,54,0,12.75,clear sky
139,Koumac,NC,-20.57,164.28,74.52,71,99,3.83,overcast clouds
140,Cayenne,GF,4.93,-52.33,87.8,70,75,11.41,broken clouds
141,Pangai,TO,-19.8,-174.35,73.51,70,0,19.77,clear sky
142,Gbarnga,LR,7.0,-9.47,73.94,88,12,2.77,few clouds
143,Palanga,LT,55.92,21.07,51.8,87,75,5.82,broken clouds
144,Gat,IL,31.61,34.76,75.99,100,0,1.99,clear sky
145,Pokosnoye,RU,55.53,101.05,24.94,91,10,8.43,clear sky
146,Cape Town,ZA,-33.93,18.42,55.4,54,0,5.82,clear sky
147,Upernavik,GL,72.79,-56.15,22.28,85,100,3.49,overcast clouds
148,Guadalupe Y Calvo,MX,26.1,-106.97,71.15,24,0,3.98,clear sky
149,Porto Novo,BJ,6.5,2.6,82.4,83,40,10.29,scattered clouds
150,Vestmannaeyjar,IS,63.44,-20.27,46.89,78,100,22.95,overcast clouds
151,Krasnoslobodsk,RU,48.71,44.57,50.0,53,75,13.42,broken clouds
152,Saint George,US,37.1,-113.58,72.0,17,1,0.89,clear sky
153,Aras,ES,42.56,-2.36,57.99,87,0,1.32,clear sky
154,Erenhot,CN,43.65,111.98,40.75,54,0,8.88,clear sky
155,Georgetown,MY,5.41,100.34,78.8,94,20,4.43,light rain
156,Salalah,OM,17.02,54.09,78.8,69,0,3.36,clear sky
157,Nioro,GM,13.35,-15.75,83.19,33,50,3.8,scattered clouds
158,Porosozero,RU,62.72,32.73,45.34,87,100,7.38,overcast clouds
159,Necochea,AR,-38.55,-58.74,57.0,54,0,10.0,clear sky
160,Fortuna,US,40.6,-124.16,70.0,37,1,5.82,clear sky
161,Penalva,BR,-3.29,-45.17,90.16,58,65,2.71,broken clouds
162,Businga,CD,3.33,20.88,69.82,96,100,1.39,overcast clouds
163,Faanui,PF,-16.48,-151.75,80.33,75,0,7.81,clear sky
164,Betioky,MG,-23.72,44.38,77.36,50,0,10.76,clear sky
165,Tubigan,PH,8.53,124.31,73.99,94,100,5.01,overcast clouds
166,Gunnedah,AU,-30.98,150.25,51.8,100,0,3.36,clear sky
167,Guangyuan,CN,32.44,105.82,59.0,99,100,0.34,overcast clouds
168,Havre-Saint-Pierre,CA,50.23,-63.6,33.91,82,73,18.9,broken clouds
169,Magaria,NE,13.0,8.91,84.13,18,0,9.1,clear sky
170,Maputo,MZ,-25.97,32.59,75.99,88,40,5.82,scattered clouds
171,Sandakan,MY,5.84,118.12,77.0,94,20,5.82,few clouds
172,Comodoro Rivadavia,AR,-45.87,-67.5,60.8,41,0,11.41,clear sky
173,Okato,NZ,-39.2,173.88,59.0,95,96,3.0,overcast clouds
174,Champerico,GT,14.3,-91.92,84.2,74,75,6.93,broken clouds
175,Yalvac,TR,38.3,31.18,53.29,76,0,2.15,clear sky
176,Norman Wells,CA,65.28,-126.83,14.49,91,68,3.49,broken clouds
177,Costa Rica,BR,-23.42,-54.65,68.68,78,100,12.03,overcast clouds
178,Mastic Beach,US,40.77,-72.85,53.6,81,90,5.82,mist
179,Mecca,SA,21.43,39.83,77.95,64,0,4.21,clear sky
180,Khromtau,KZ,50.25,58.43,38.21,68,0,6.42,clear sky
181,Tateyama,JP,34.98,139.87,57.99,25,100,5.01,overcast clouds
182,Vila Velha,BR,-20.33,-40.29,84.99,78,20,20.8,few clouds
183,Zyryanka,RU,65.75,150.85,2.98,94,100,3.02,overcast clouds
184,Mar Del Plata,AR,-38.0,-57.56,55.4,54,20,11.41,few clouds
185,Egvekinot,RU,66.32,-179.17,12.36,85,7,1.63,clear sky
186,Sambava,MG,-14.27,50.17,73.17,84,44,12.68,light rain
187,Port Hedland,AU,-20.32,118.57,73.4,88,24,8.05,few clouds
188,Novopskov,UA,49.55,39.09,50.14,77,100,8.84,light rain
189,Kodiak,US,57.79,-152.41,33.8,69,1,3.27,clear sky
190,San Pedro,PH,14.35,121.02,78.8,94,40,3.36,scattered clouds
191,Bandarbeyla,SO,9.49,50.81,78.75,82,33,12.15,scattered clouds
192,Clemencia,CO,10.57,-75.33,82.17,82,100,11.59,light rain
193,Klaksvik,FO,62.23,-6.59,46.4,100,100,16.11,overcast clouds
194,Ramon Castilla,PE,-4.26,-69.96,87.8,66,40,1.88,light rain
195,Olafsvik,IS,64.89,-23.71,43.3,84,98,18.21,overcast clouds
196,Verkhnevilyuysk,RU,63.45,120.32,-5.4,91,71,3.85,broken clouds
197,Nome,US,64.5,-165.41,19.4,85,40,6.53,scattered clouds
198,Bowen,AU,-20.02,148.23,64.4,100,90,2.33,fog
199,Yatou,CN,37.15,122.38,50.54,56,0,6.08,clear sky
200,Alofi,NU,-19.06,-169.92,75.2,64,44,16.11,scattered clouds
201,San Quintin,MX,30.48,-115.95,73.76,37,0,8.9,clear sky
202,Hosdurga,IN,13.8,76.29,67.14,83,7,1.12,clear sky
203,Rocha,UY,-34.48,-54.33,57.27,70,0,18.28,clear sky
204,Tuatapere,NZ,-46.13,167.68,55.0,90,100,1.99,overcast clouds
205,Meulaboh,ID,4.14,96.13,76.33,84,95,3.04,moderate rain
206,Colares,PT,38.8,-9.45,63.0,67,0,10.29,clear sky
207,Geraldton,AU,-28.77,114.6,68.0,77,68,3.51,broken clouds
208,Lompoc,US,34.64,-120.46,75.99,23,1,8.59,clear sky
209,Souillac,MU,-20.52,57.52,68.0,72,0,5.01,light rain
210,Carnarvon,AU,-24.87,113.63,69.8,100,90,8.05,overcast clouds
211,Kyshtovka,RU,56.55,76.63,33.04,95,97,12.57,overcast clouds
